City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tasiilaq,65.61,-37.64,273.15,96,75,1.5,GL,1604081639
thompson,55.74,-97.86,267.01,85,41,1.08,CA,1604081515
zihuatanejo,17.63,-101.55,306.15,59,40,1.83,MX,1604081712
clyde river,70.47,-68.59,264.61,92,91,2.37,CA,1604081502
pangai,-19.8,-174.35,296.15,64,40,7.7,TO,1604081714
riverton,40.52,-111.94,287.59,43,1,6.2,US,1604081714
koroni,36.8,21.95,292.59,68,20,3.6,GR,1604081715
sistranda,63.73,8.83,282.15,61,0,9.3,NO,1604081715
yumen,40.28,97.2,273.19,83,27,4.76,CN,1604081669
mata,40.68,-7.46,288.71,76,0,0.45,PT,1604081716
zaterechnyy,44.79,45.21,285.93,93,16,2.73,RU,1604081716
verkhnevilyuysk,63.45,120.32,251.14,91,61,0.94,RU,1604081527
prabumulih,-3.45,104.25,297.23,89,91,0.45,ID,1604081717
tautira,-17.73,-149.15,302.15,70,40,1.0,PF,1604081717
chuchkovo,54.27,41.45,279.0,85,100,2.41,RU,1604081718
hirara,24.8,125.28,295.78,68,61,10.27,JP,1604081598
pisco,-13.7,-76.22,293.71,72,0,5.7,PE,1604081718
luanda,-8.84,13.23,299.15,83,40,4.1,AO,1604081489
torbay,47.67,-52.73,275.93,58,70,0.89,CA,1604081564
chibombo,-14.66,28.07,298.12,28,3,2.73,ZM,1604081719
akyab,20.15,92.9,299.73,80,68,3.67,MM,1604081719
antofagasta,-23.65,-70.4,290.15,63,0,5.1,CL,1604081669
bondo,3.81,23.69,294.48,98,81,0.94,CD,1604081720
caravelas,-17.71,-39.25,301.11,63,72,5.54,BR,1604081550
sao joao da barra,-21.64,-41.05,301.15,74,75,6.2,BR,1604081721
paamiut,61.99,-49.67,270.15,84,97,4.58,GL,1604081721
lakes entrance,-37.88,147.98,286.48,94,33,0.89,AU,1604081721
awjilah,29.11,21.29,295.75,51,32,5.49,LY,1604081722
rodeo,38.03,-122.27,292.04,68,0,0.89,US,1604081722
taksimo,56.34,114.88,264.96,92,54,0.64,RU,1604081722
seoul,37.57,126.98,279.15,81,1,1.2,KR,1604081426
erzurum,40.0,41.5,287.15,33,75,3.1,TR,1604081723
moranbah,-22.0,148.05,294.96,70,0,5.96,AU,1604081723
woodward,36.43,-99.39,289.15,44,1,5.1,US,1604081439
changping,40.22,116.22,288.71,58,71,1.79,CN,1604081724
lebu,-37.62,-73.65,288.3,66,0,5.84,CL,1604081633
statesboro,32.45,-81.78,295.15,52,1,4.1,US,1604081441
nanhai,30.13,111.78,289.08,84,100,1.19,CN,1604081724
broken hill,-31.95,141.43,285.15,81,75,8.2,AU,1604081639
neiafu,-18.65,-173.98,296.15,73,40,4.1,TO,1604081725
lavrentiya,65.58,-171.0,267.47,86,81,3.06,RU,1604081726
robertsport,6.75,-11.37,300.77,76,61,3.99,LR,1604081726
taltal,-25.4,-70.48,290.87,55,13,3.12,CL,1604081727
colmenar viejo,40.66,-3.77,289.82,67,0,0.5,ES,1604081495
honggang,46.47,124.87,279.01,58,100,7.2,CN,1604081728
guerrero negro,27.98,-114.06,298.81,30,21,1.2,MX,1604081729
sitka,57.05,-135.33,277.15,93,75,2.68,US,1604081729
beloha,-25.17,45.05,295.2,55,0,6.18,MG,1604081730
iquitos,-3.75,-73.25,298.15,73,75,7.7,PE,1604081730
brigantine,39.41,-74.36,280.15,81,90,6.7,US,1604081730
mao,39.89,4.27,290.15,82,0,1.0,ES,1604081731
kimbe,-5.55,150.14,297.55,86,93,1.47,PG,1604081731
tuktoyaktuk,69.45,-133.04,259.15,84,75,3.1,CA,1604081645
jiexiu,37.02,111.91,284.84,69,99,4.23,CN,1604081732
tumut,-35.3,148.22,284.96,87,70,2.64,AU,1604081732
hovd,48.01,91.64,271.91,79,64,2.5,MN,1604081732
port macquarie,-31.43,152.92,292.15,88,90,1.5,AU,1604081653
conselheiro pena,-19.17,-41.47,301.26,73,93,2.4,BR,1604081733
constitucion,-35.33,-72.42,293.17,51,0,2.77,CL,1604081733
tamandare,-8.76,-35.1,301.02,70,71,4.6,BR,1604081546
huarmey,-10.07,-78.15,293.52,68,94,3.81,PE,1604081734
tiarei,-17.53,-149.33,302.15,70,40,1.0,PF,1604081734
sheremetyevskiy,55.98,37.49,278.15,80,90,2.0,RU,1604081735
dingle,11.0,122.67,298.06,91,100,3.17,PH,1604081530
lorengau,-2.02,147.27,300.19,75,100,1.32,PG,1604081735
mount hagen,-5.86,144.23,287.28,91,99,0.31,PG,1604081736
flinders,-34.58,150.86,290.37,93,100,0.45,AU,1604081652
tucumcari,35.17,-103.72,289.15,51,1,5.7,US,1604081736
chipinge,-20.19,32.62,293.63,60,0,5.23,ZW,1604081736
vestmannaeyjar,63.44,-20.27,279.15,93,90,10.8,IS,1604081737
urumqi,43.8,87.6,276.15,69,0,1.0,CN,1604081738
mwense,-10.38,28.7,298.84,38,65,1.39,ZM,1604081738
narsaq,60.92,-46.05,272.15,63,75,0.5,GL,1604081738
nanortalik,60.14,-45.24,271.39,92,93,2.36,GL,1604081659
